# NPC=0: Total hesitation points = 411
X,Y,Z
-44.000000,-1.620000,0.000000
-43.990000,-1.620000,0.400000
-43.420000,-1.620000,-0.190000
-40.810000,-1.570000,-2.910000
-25.540000,-1.580000,-2.920000
-17.760000,-1.570000,-2.380000
-5.910000,-1.570000,-2.190000
0.140000,-1.570000,-2.150000
7.230000,-1.570000,-2.280000
18.010000,-1.620000,-1.790000
19.330000,-1.570000,-2.470000
33.730000,-1.570000,-2.080000
40.270000,-2.870000,-1.010000
45.200000,-2.650000,-0.770000
45.110000,-2.650000,-0.650000
45.070000,-2.650000,-0.560000
42.790000,-2.870000,-1.350000
42.000000,-2.870000,-1.370000
40.670000,-2.870000,-1.360000
38.350000,-2.270000,-2.290000
38.350000,-2.270000,-2.520000
-44.000000,-1.620000,0.000000
-43.400000,-1.620000,-0.030000
-27.960000,-1.620000,-1.760000
-20.800000,-1.570000,-2.050000
-10.530000,-1.570000,-2.380000
18.680000,-1.570000,-2.170000
37.090000,-1.570000,-2.490000
39.390000,-2.870000,-0.960000
42.130000,-2.870000,-1.070000
42.300000,-2.870000,-1.030000
50.990000,-2.570000,-2.900000
-44.000000,-1.620000,0.000000
-40.380000,-1.570000,-2.880000
-35.770000,-1.570000,-2.900000
25.590000,-1.570000,-2.490000
34.560000,-1.570000,-2.890000
29.960000,-1.570000,-2.560000
-207.930000,-1.580000,-2.930000
-228.350000,-2.570000,-2.780000
-228.250000,-2.570000,-2.600000
-44.000000,-1.620000,0.000000
-44.440000,-1.620000,-1.220000
-44.460000,-1.620000,-1.130000
-44.220000,-1.620000,-1.030000
38.360000,-2.270000,-2.440000
38.500000,-2.640000,-1.510000
35.510000,-2.870000,-1.750000
30.840000,-2.870000,-1.480000
35.870000,-2.870000,-1.180000
38.850000,-2.440000,-2.630000
-228.730000,-2.570000,-2.890000
-142.500000,-1.620000,1.000000
-141.980000,-1.570000,-2.160000
-142.030000,-1.570000,-2.450000
-164.240000,-1.570000,-2.430000
-210.330000,-1.570000,-2.500000
-49.070000,-1.570000,-2.880000
-2.260000,-1.570000,-2.580000
38.890000,-2.630000,-1.680000
39.240000,-2.650000,0.110000
46.230000,-2.650000,-0.040000
52.310000,-2.650000,0.240000
55.660000,-2.650000,0.160000
59.820000,-2.650000,0.060000
59.710000,-2.650000,-0.360000
59.340000,-2.650000,0.150000
51.510000,-2.570000,-2.860000
51.510000,-2.570000,-2.870000
-42.500000,-1.620000,1.000000
-43.780000,-1.570000,-2.740000
-124.140000,-1.570000,-2.510000
-201.490000,-1.570000,-2.250000
-215.790000,-1.570000,-2.690000
-42.500000,-1.620000,1.000000
-42.810000,-1.620000,0.490000
6.640000,-1.570000,-2.890000
28.840000,-1.570000,-2.240000
38.860000,-2.440000,-2.040000
38.880000,-2.440000,-2.130000
49.670000,-2.870000,1.550000
49.550000,-2.870000,1.560000
49.140000,-2.870000,1.740000
45.020000,-2.870000,1.400000
39.250000,-2.870000,1.080000
31.710000,-2.870000,-1.700000
35.540000,-2.870000,-1.760000
38.670000,-2.440000,-2.540000
38.670000,-2.440000,-2.530000
36.850000,-1.570000,-2.720000
35.900000,-1.570000,-2.870000
26.590000,-1.580000,-2.930000
-23.870000,-1.570000,-2.890000
-87.200000,-1.580000,-2.920000
-131.330000,-1.570000,-2.880000
-131.360000,-1.570000,-2.880000
-134.610000,-1.580000,-2.930000
-138.730000,-1.570000,-2.690000
-139.530000,-1.570000,-2.730000
-159.850000,-1.570000,-2.910000
-216.910000,-1.570000,-2.770000
-216.390000,-1.570000,-2.600000
-216.280000,-1.570000,-2.660000
-216.060000,-1.570000,-2.670000
-217.630000,-2.870000,-0.390000
-230.150000,-2.490000,-2.480000
-42.500000,-1.620000,1.000000
-42.510000,-1.620000,1.000000
-42.570000,-1.620000,0.980000
-42.580000,-1.620000,0.960000
-49.030000,-1.620000,-0.580000
-49.250000,-1.620000,-0.910000
-114.650000,-1.570000,-2.880000
-115.600000,-1.580000,-2.930000
-216.910000,-1.580000,-2.930000
-216.910000,-1.580000,-2.920000
-216.920000,-1.570000,-2.880000
-218.490000,-2.640000,-1.750000
-228.970000,-2.570000,-2.880000
-42.500000,-1.620000,1.000000
-42.750000,-1.620000,1.110000
